USO,x,Open,Close
0.18,-0.227203685,33.21771982,33.39962398
0.18,-0.055126895,33.10655617,33.28846033
-0.05,-0.211829902,32.9347578,32.88422887
0.15,0.284750502,32.88422887,33.03581567
-0.2,0.180592017,32.94486359,32.74274786
0.08,-0.052755002,33.00549831,33.0863446
-0.33,-0.068164912,33.74322071,33.40972976
0.15,1.078284082,33.87693894,34.02976724
-0.12,0.559073934,34.08071001,33.95844737
-0.49,0.448766087,34.33542383,33.83618473
0.16,0.609016402,34.07052145,34.2335383
-0.07,0.687172762,34.13165277,34.0603329
-0.81,-0.33162557,35.63955862,34.81428583
0.3,-0.60452811,35.31352493,35.61918152
0.03,-0.506965426,35.34409059,35.37465624
0.01,0.287407105,35.92483811,35.93502666
-0.23,0.110116883,36.08785496,35.85351824
0.02,-0.163239934,35.92483811,35.94521522
0.57,-0.000995282,35.20145084,35.78219837
-0.18,0.12283713,35.53767309,35.35427914
-0.42,-0.121651357,35.76182126,35.33390203
0.49,0.1324925,35.20145084,35.70068994
-0.02,-0.232943437,35.7108785,35.69050139
-0.11,0.065181633,35.54786165,35.43578756
0.33,0.178389924,35.68031284,36.01653509
0.12,0.120869599,35.82295258,35.94521522
0.07,0.188677481,36.19457772,36.26610851
0.1,0.218830169,35.959548,36.06173484
-0.02,0.031831608,35.72451827,35.70408091
-0.09,0.123014478,35.63255012,35.54058197
-0.04,-0.075236668,35.56101933,35.5201446
-0.31,-0.034937596,35.68364354,35.36686434
0.19,0.052000916,35.5814567,35.77561169
0.07,-0.050296617,35.4588325,35.53036328
-0.03,0.284089175,35.4588325,35.42817645
0.24,-0.131626979,34.78439937,35.02964778
-0.26,0.27390284,34.99899173,34.73330595
0.16,0.175378816,34.86614884,35.02964778
0.19,0.249314378,34.61068175,34.80483674
-0.11,0.095869164,35.02964778,34.91724226
-0.07,-0.334211163,34.69243122,34.62090043
-0.05,0.293435741,34.75374332,34.7026499
0.2,0.132026356,34.45740149,34.66177517
0.18,0.22319163,34.43696412,34.62090043
-0.11,-0.252327626,34.59024438,34.47783886
-0.18,0.057987048,34.74352464,34.55958833
0.47,0.296444831,33.61946943,34.09974756
-0.14,-0.005502422,33.81428262,33.67160633
0.02,-0.248964445,33.80409146,33.82447379
0.1,0.19845166,33.68179749,33.78370913
0.05,0.012481622,32.80535737,32.85631319
0.2,-0.556058737,32.77478388,32.97860716
0.1,0.465965475,33.2537686,33.35568024
0.41,0.03936167,32.87669552,33.29453325
0.08,-0.325893695,32.7136369,32.79516621
0.16,-0.327850861,32.45885779,32.62191642
0.16,0.360488183,32.25503451,32.41809314
-0.04,0.263542278,32.22446102,32.18369636
-0.07,0.220031869,32.45885779,32.38751964
0.05,0.006724038,32.02063774,32.07159356
-0.26,0.006224366,32.25503451,31.99006424
-0.15,-0.606223262,32.285608,32.13274054
