Day,Actual,Prediction,Bought,Sold,Profit
395,-0.28,1.148014985,0.26884241,,44.3933815517
396,0.25,-0.476794792,0.0107537,,44.4359252842
397,0.01,-0.237195197,0.09678327,,44.8107590054
398,0.09,-0.556525146,0.11829066,,45.2776166623
399,0.11,-0.314002977,-0.41939417,,43.645754011
400,-0.39,-0.969162847,,,43.645754011
401,0.57,0.04554384,0.45165525,,45.366062427
402,0.42,-0.676748767,,,45.366062427
403,-0.46,0.058289354,,,45.366062427
404,0.45,0.383500158,-0.68823657,,42.7796215332
405,-0.64,-0.476336837,-0.41939417,,41.2061812073
406,-0.39,-0.313209076,-0.36562569,,39.8178034547
407,-0.34,-0.20607296,,,39.8178034547
408,-0.01,0.611613336,0.74200506,,42.576576242
409,0.69,-0.182709212,,,42.576576242
410,-0.13,0.735289768,,,42.576576242
411,-0.06,0.322377204,-0.25834093,,41.5760388506
412,-0.24,-1.056150958,,,41.5760388506
413,-0.76,0.311150445,,,41.5760388506
414,-0.35,0.004846451,-0.48438924,,39.6489602693
415,-0.45,-0.175775506,,,39.6489602693
416,0.75,0.175915994,0.26910513,,40.6763952271
417,0.25,-0.33175571,0.26910513,,41.7080496303
418,0.25,-0.284438912,-0.33369036,,40.4194167475
419,-0.31,-0.29906497,,,40.4194167475
420,0.24,0.267756049,,,40.4194167475
421,0.09,0.915238451,-0.11840626,,39.9741548243
422,-0.11,-0.560432906,-0.22604831,,39.1189155911
423,-0.21,-0.203008683,-0.01076421,,39.0785561549
424,-0.01,-0.115785813,0.72120175,,41.8071837476
425,0.67,-0.301330767,,,41.8071837476
426,-0.89,-0.062552396,0.55973867,,43.9200701391
427,0.52,-0.202000874,,,43.9200701391
428,0.15,0.349273108,,,43.9200701391
429,0.06,0.407318574,,,43.9200701391
430,-0.84,0.500649889,-0.08611364,,43.5857610412
431,-0.08,-0.410154958,0.53821026,,45.6631013218
432,0.5,-0.818483518,0.90419324,,49.2096811716
433,0.84,-0.389384283,0.32285802,,50.4469090386
434,0.3,-0.859135578,0.23676255,,51.3490164295
435,0.22,-0.820506927,-0.01076194,,51.3080115256
436,-0.01,-0.395376692,0.17219095,,51.9703721992
437,0.16,-0.340772314,-0.04304774,,51.8026344664
438,-0.04,-0.723285277,,,51.8026344664
439,0.17,0.085429515,,,51.8026344664
440,0.13,0.223266045,,,51.8026344664
441,-0.68,0.54490566,,,51.8026344664
442,-0.24,0.693545026,-0.05380967,,51.5783397944
443,-0.05,-0.220142432,,,51.5783397944
444,0.03,-0.004110399,,,51.5783397944
445,-0.19,0.088456906,0.25828642,,52.6662226296
446,0.24,-0.491325001,,,52.6662226296
447,-0.41,0.024008296,,,52.6662226296
448,-0.06,0.160402466,,,52.6662226296
449,-0.49,0.22376071,,,52.6662226296
450,-0.28,0.291729096,,,52.6662226296
451,0.59,0.122355553,0.12914321,,53.2299133049
452,0.12,-0.361529619,,,53.2299133049
453,0.92,0.163629963,-0.11838127,,52.7211511603
454,-0.11,-0.5776786,,,52.7211511603
455,-1.12,0.231621473,,,52.7211511603
456,0.48,-0.066350741,0.72005543,,55.8483874672
457,0.67,-1.168794999,-0.33315997,,54.4018904701
458,-0.31,-0.142693479,,,54.4018904701
459,-0.03,0.409776755,0.11821805,,54.9160959574
460,0.11,-0.329287498,,,54.9160959574
461,-0.71,-0.055656237,,,54.9160959574
462,0.38,0.493732408,,,54.9160959574
463,-0.16,0.043453567,,,54.9160959574
464,-0.12,0.745863066,,,54.9160959574
465,0.05,0.409364139,,,54.9160959574
466,-0.39,0.302569323,-0.48361932,,52.809985872
467,-0.45,-0.678700945,,,52.809985872
468,0.46,0.162170578,,,52.809985872
469,-0.44,0.31527479,-0.42988384,,50.95662035
470,-0.4,-1.109008176,0.39764254,,52.6858447574
471,0.37,-0.37070517,,,52.6858447574
472,0.44,0.081732281,-0.38689545,,51.0499250021
473,-0.36,-0.352079331,-0.03224129,,50.9135162703
474,-0.03,-0.805486327,,,50.9135162703
475,0.75,-0.020910309,0.38667052,,52.4891794654
476,0.36,-0.392510935,,,52.4891794654
477,0.28,0.030345024,,,52.4891794654
478,-0.13,0.359250624,0.2040761,,53.2962252476
479,0.19,-0.886997891,,,53.2962252476
480,0.17,0.460470187,-1.22445662,,48.5214247963
481,-1.14,-1.062006884,,,48.5214247963
482,0.53,0.00405364,,,48.5214247963
483,-0.25,0.081572077,-0.2040761,,47.7340623462
484,-0.19,-0.222923341,,,47.7340623462
485,0.09,0.60974319,,,47.7340623462
486,-0.1,0.006607584,-0.59074662,,45.4782673748
487,-0.55,-0.372720529,,,45.4782673748
488,0.68,1.245094985,-0.64445085,,42.9999323393
489,-0.6,-0.144525471,,,42.9999323393
490,0.89,1.118099601,-0.60148747,,40.7384253358
491,-0.56,-0.119493811,0.38667051,,42.1806636744
492,0.36,-0.904541319,-0.31148458,,41.0308479308
493,-0.29,-0.442088374,,,41.0308479308
494,0.23,0.670813925,0.11814932,,41.470196355
495,0.11,-0.131588449,,,41.470196355
496,-0.27,0.070879918,,,41.470196355
497,-0.11,-0.062738526,,,41.470196355
498,-0.33,1.574743499,,,41.470196355
499,0.01,0.08743795,,,41.470196355
500,0.28,-0.075196032,0.19309482,,42.1527113927
501,0.18,-0.459715476,0.26818724,,43.1029300428
502,0.25,-0.606810124,0.1072749,,43.4852515337
503,0.1,-0.345548689,-0.77237926,,40.750028306
504,-0.72,-0.388236167,,,40.750028306
505,0.47,0.536026186,,,40.750028306
506,-0.06,1.76048582,-0.84747169,,37.7657952726
507,-0.79,-0.341535082,,,37.7657952726
508,-0.35,0.597969533,,,37.7657952726
509,-0.62,0.659701171,-0.63292189,,35.4644980212
510,-0.59,-0.286611743,,,35.4644980212
511,0.22,0.014827366,0.07509243,,35.7342708555
512,0.07,-0.12952538,,,35.7342708555
513,0.05,-0.091000827,0.22527729,,36.5547716522
514,0.21,-0.403264743,,,36.5547716522
515,1.07,1.233430118,,,36.5547716522
516,0.17,0.651441412,0.59001193,,38.6277808697
517,0.55,-0.755441342,-0.3109664,,37.5212007109
518,-0.29,-1.352292705,,,37.5212007109
519,0.5,0.095501119,,,37.5212007109
520,0.63,0.428346285,,,37.5212007109
521,0.65,0.39553076,,,37.5212007109
522,-0.05,0.03614242,-0.98651408,,34.253651517
523,-0.92,-0.206364346,,,34.253651517
524,-0.02,0.048652666,,,34.253651517
525,-0.05,0.002023218,,,34.253651517
526,-0.3,0.354932592,,,34.253651517
527,-0.36,0.509451923,,,34.253651517
528,0.06,0.759629787,,,34.253651517
529,0.46,0.840381569,,,34.253651517
530,-0.2,0.0837338,,,34.253651517
531,0.04,0.626649749,,,34.253651517
532,0.15,-0.018027513,0.16084468,,34.7816548437
533,0.15,-0.313187147,,,34.7816548437
534,0.13,0.086110639,,,34.7816548437
535,0.36,0.017986692,-0.09650681,,34.4690169912
536,-0.09,-0.167787709,,,34.4690169912
537,-0.03,0.215782762,-0.13939873,,34.0202115383
538,-0.13,-0.619626562,,,34.0202115383
539,-0.33,0.023256016,,,34.0202115383
540,0.99,0.084147381,,,34.0202115383
541,-0.29,0.035106926,,,34.0202115383
542,-0.92,0.340313066,0.77073005,,36.5729774973
543,0.72,-0.224697693,,,36.5729774973
544,-0.63,-0.088352173,,,36.5729774973
545,-0.26,0.7749191,0.09634126,,36.8957602855
546,0.09,-0.220272224,0.49241086,,38.5348037436
547,0.46,-0.333045896,,,38.5348037436
548,-0.05,0.429494222,-0.37466044,,37.2915426757
549,-0.35,-0.550944195,0.43888794,,38.7532287932
550,0.41,-0.553291496,,,38.7532287932
551,0.24,0.755820272,,,38.7532287932
552,-0.43,0.210178425,,,38.7532287932
553,-0.18,0.537260115,,,38.7532287932
554,-0.09,0.327476894,,,38.7532287932
555,0.03,0.63051397,,,38.7532287932
556,-0.2,0.409287102,0.5994567,,40.894364317
557,0.56,-0.102615644,,,40.894364317
558,-0.66,0.253891426,,,40.894364317
559,1.33,-0.05948143,1.41696035,,45.9209068067
560,1.33,-1.450552988,-0.63923023,,43.6568120709
561,-0.6,-1.270882183,0.07457686,,43.920679212
562,0.07,-0.309050052,,,43.920679212
563,-0.19,0.635218131,,,43.920679212
564,-1.04,-0.082889261,,,43.920679212
565,-0.55,0.460658424,,,43.920679212
566,0.26,0.468547807,,,43.920679212
567,-0.15,0.09196549,,,43.920679212
568,0.24,0.537539572,-0.24503826,,43.0082823909
569,-0.23,-0.138947084,,,43.0082823909
570,-0.31,0.073342172,-0.62857639,,40.6632327632
571,-0.59,-0.521495911,,,40.6632327632
